Datetime,Tweet Id,Text,Username
2020-12-11 17:43:36+00:00,1337452991071174658,xlhome napa ngadat si,aurouxra
2020-12-11 15:34:05+00:00,1337420397298368514,"@fucekrii @IndiHome @xlhomeid Disini indihome sering mengecewakan,XLhome belum begitu bisa terjangkau",Jayaak_
2020-12-11 15:30:43+00:00,1337419551819005956,"@fucekrii @IndiHome @xlhomeid Di sleman biznet lah,di Bali menang Xlhome ya",Jayaak_
2020-12-11 15:30:34+00:00,1337419512748990466,xlhome elu jangan ngebala plis lah lg ga ada paketan ini...,fIowingday
2020-12-11 15:28:24+00:00,1337418968823332866,xlhome kenapesi??? lagi lemot bgt dah gue gregetan,fIowingday
2020-12-11 14:42:49+00:00,1337407496139333633,@hhjpride HEY XLHOME DO THE SAME SHIT,chiclino
2020-12-11 14:42:35+00:00,1337407435670089731,duhhhh xlhome ngape si luuuu,winmdetawin
2020-12-11 14:40:23+00:00,1337406884807024646,XLHOME KNP LO,winmdetawin
2020-12-11 13:16:05+00:00,1337385667282624512,"@myXLCare halo XL team, untuk app myXL, bagi pengguna XLHome, apakah ada cara utk menambah paket? Karena di app saya tidak ada pilihan tersebut. Mohon petunjuk. https://t.co/A0gkAXcWlh",roynugroho
2020-12-11 09:50:46+00:00,1337333998427594752,xlhome ada mslh apa sih spotipi aja masa ngadat,aurouxra
2020-12-11 09:00:13+00:00,1337321278332604417,"Provider XL Home sekali lagi membuat sebuah referensi unik dimana iklan mereka terdapat referensi anime diposting pada akun resmi Facebook. #XLHome #AttackOnTitan #ShingekiNoKyojin #Anime #Manga https://t.co/afAzVnqX4J https://t.co/gRlERIHqE0",NawalaKarsa
2020-12-11 05:34:58+00:00,1337269623582965761,"@aswnn_yoga  Hi  Aswnn, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-11 04:30:33+00:00,1337253414481190912,@banjarbase Xlhome,xoxolopyu
2020-12-11 03:02:01+00:00,1337231132761341954,@fatismw xlhome 100mbps cuma 350an🤤,rizmachaeranii
2020-12-10 16:02:26+00:00,1337065143692382208,"@myXLCare jaringan xlhome daerah komp grand orchard, tanjung bunga, Makassar SULSEL  tiba2 drop, bagus lagi, drop lagi, bagus lagi dst... mohon di cek",dud3ts4d4m
2020-12-10 06:09:37+00:00,1336915956715548674,@collegemenfess xlhome yg 30mbps 250an klo gasalah,jacksally__
2020-12-10 01:01:46+00:00,1336838482950418438,"@KoTa5432111  Hi KoTab, layanan XLHOME Fiber menggunakan kabel serat Optic. Jadi tidak masalah meskipun arenya belum ada signal jaringan kartu XL selama lokasinya sendiri sudah ada fiber optic XLHOME. Yuk cek detail area yang s.. https://t.co/7lPMTZ7HLE",xlhomeid
2020-12-10 00:08:30+00:00,1336825078655246336,@ngenctot ada ath dam ai ieu aku pake xlhome skrg di rmh,aurouxra
2020-12-10 00:01:49+00:00,1336823398983376896,"@halogalih Hi Galih, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-09 23:45:17+00:00,1336819237323567104,"@xlhomeid pagi admin xlhome, apa ada teknisi yang bisa bantu saya buat merubah koneksi NAT wifi xl home saya dirumah? NAT wifi masih D saya punya konsol game jadi gabisa online kalau NATnya D dan harus dirubah jadi minimal B, gimana solusinya ya?",anggierizkiiw
2020-12-09 15:24:04+00:00,1336693101243453441,XLhome down...why???????,cecepj2018
2020-12-09 13:14:37+00:00,1336660521882251264,"@okta_ian Mending ganti ke XLhome, wkwk",ruslanprast
2020-12-09 06:03:35+00:00,1336552048779689985,"@glasnost_inter  Hi Salman, mohon maaf untuk ketidaknyamanannya. Terkait layanan XLHome Fiber bisa disampaikan via DM ya :) Thanks ^Dian",xlhomeid
2020-12-09 04:11:45+00:00,1336523906199392258,"@adrianr_nugraha Hi Adrianr, saat ini area Cimahi masih belum tercover  XLHome Fiber nih. Terkait dengan hal ini Adrianr bisa membantu kami dengan mengisi data pada tautan ini https://t.co/djttPzJEHC ata.. https://t.co/ogVYaeJ4PP",xlhomeid
2020-12-09 03:27:50+00:00,1336512855395377152,"@xlhomeid Saya di perumahan bumi pertiwi cilebut bogor, mau pasang XLhome tapi baru ada di blok A-Z, saya blok AC, tolong diperluas jaringannya dong, pasang tiang lagi. Saya udh bosen sama service internet sebelah.",nandaubay
2020-12-09 00:26:18+00:00,1336467168666382337,"@ofnothinggg Hi, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-08 12:53:08+00:00,1336292730847170561,@iijaaay Xlhome bagus,kakabiw_
2020-12-08 03:46:43+00:00,1336155221098070016,"@d_wibisono Hi Danang, mengenai hal ini bisa ditunggu updatenya ya, kami akan berusaha untuk memperluas area jaringan XLHOME Fiber untuk kedepannya. Thanks^Adi :)",xlhomeid
2020-12-08 02:22:20+00:00,1336133985026510849,"@d_wibisono  Hi Danang, XLHOME Fiber sudah ada di Sleman dan memang masih belum semuanya tercover termasuk Kalasan nih. Detailnya bisa Danang cek juga di https://t.co/VHvnacRvKF ya. Thanks^Adi :)",xlhomeid
2020-12-07 17:31:11+00:00,1336000313539510274,Ada yang pake xlhome ga kok gangguan sih,hoshismaid
2020-12-07 14:17:01+00:00,1335951452548681729,Xlhome lagi kenapa si elah,hsnnabila
2020-12-07 14:07:43+00:00,1335949110726119425,xlhome fuuuuc u,jinsimps
2020-12-07 13:53:36+00:00,1335945558284877826,"@xlhomeid saya ingin complain tentang kecepatan internet xlhome yang akhir akhir ini sangat buruk, 0,06mbps untuk hari ini",kielelelele
2020-12-07 12:49:44+00:00,1335929484592050177,Selamat malam Cash pop  saya telah mengirimkan bukti bahwa saya telah mem follow akun Twitter XLHome  dan ini Id Cash pop saya 1524369578rzs,RasyaZubair
2020-12-07 12:42:06+00:00,1335927567107289089,hadeh lelet bener xlhome,kaciwngalag
